video_id,title,publishedAt,channelId,channelTitle,categoryId,trending_date,tags,view_count,likes,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description,duration
"pY-7MtNo1fw","TINDER EN LA VIDA REAL CON MIS VECINAS Y YOLO AVENTURAS","2020-09-19T20:37:15Z","UCqma_8hr8yOgr37wdUY-E7Q","NANDO","23","20.21.09","nando|yolo aventuras|nando weee|cracks|coloridas|tinder|tinder en la vida real|vecinos|vecinas|lila|nando y lila|nanlila|kimberly loaiza|jukilop|bromas|retos|challenge|tiktok|vlog|blog|vlogs|diversion|entretenimiento|fede|kca|viral|tendencias|trendin|pareja|novia|lulu 99|ami rodriguez|broma pesada|antrax|free fire|nando tinder|mexico|argentina|colombia|citas rapidas|reaccion|memes|resumen|fall guys|fortnite|humor|tener novia|tiktokers|tik tok|musica|yolo|risas|futbol","1728906","362766","5358","13639","https://i.ytimg.com/vi/pY-7MtNo1fw/default.jpg","False","False","Nando invita a sus vecinas @COLORIDAS  a conseguir novio en TINDER en la VIDA REAL con los editores y miembros de @YOLO AVENTURAS fue muy divertido.Participantes suculentos machos pechos peludos de Tinder:YAMIT: https://cutt.ly/OyvFSRjJOTA: https://cutt.ly/lfJaC6pMARCO: https://cutt.ly/OyvFFktTAVO: https://cutt.ly/rfJaBUfYOLO: https://cutt.ly/QyvFG7UPAYASO LOCO: https://bit.ly/32MLvqZNANDO WEEE: https://cutt.ly/PyvFHnxParticipa en el SÚPER SORTEO INTERNACIONAL por 4 iPhone 11 Pro Max siguiendo los 4 pasos.PASO 1: Suscríbete al canal de COLORIDAS y activa la campanita de notificaciones: https://youtu.be/ZGXnLmV8nUYPASO 2: Sigue a las 4 Coloridas en TikTok:Lila: https://www.tiktok.com/@lilacoloridasMía: https://www.tiktok.com/@miacoloridasPoli: https://www.tiktok.com/@policoloridasSoni: https://www.tiktok.com/@sonicoloridasPASO 3: Sigue a las 4 Coloridas en Instagram:Lila: https://www.instagram.com/lilacoloridasMía: https://www.instagram.com/miacoloridasPoli: https://www.instagram.com/policoloridasSoni: https://www.instagram.com/sonicoloridasPASO 4: Comenta #COLORIDAS en las fotos que están en las cuentas de Instagram de las 4 Coloridas.No olvides enviarle capture de pantalla a cualquiera de los Instagram de las Coloridas para comprobar que cumpliste con todos los pasos. El sorteo se realizará el 15 de Octubre en un directo en el canal de Coloridas, ¡SUERTE PEGROS! ❤️Este reto extremo que es tendencias de internet en Mexico, Argentina y Colombia, me pidieron que lo hiciera con las COLORIDAS.¿Preparados para el cambio de look de Yolo?Estamos en directo este Martes: http://www.twitch.tv/yoloaventurasSígueme en Instagram para ganarte un saludo:NANDO: https://www.instagram.com/nandoweeeSígueme en nando TikTok: https://vm.tiktok.com/x7YabRSíguenos en TikTok:NANDO: https://vm.tiktok.com/x7YabRYOLO: https://vm.tiktok.com/x7jjrHSuscríbete porque se vienen mejores vídeos que les va a encantar, porque darle like es FACILITO PAPÁ!Publicidad: Nandopublicidad@hotmail.com","PT20M33S"
"04kkMiSfreQ","NOS VAMOS DE LA CASA DE RAFA  | LOS POLINESIOS VLOGS","2020-09-19T18:52:09Z","UCs8qka8tfhdc69wzXYdtZ3A","LosPolinesios","22","20.21.09","Platica polinesia|los polinesios|karen|rafa|lesslie|bromas|extras|personales","2758362","187349","4518","23795","https://i.ytimg.com/vi/04kkMiSfreQ/default.jpg","False","False","Familia estamos nominados en los premios KCA México en la categoría de Youtuber Favorito vayamos todos juntos a votar hasta que el sitio web se caiga                                          ➡️➡️  http://bit.ly/youtuberfavorito  ⬅️⬅️ Boletos de nuestra nueva gira JUMP:CDMX Auditorio Nacional 08 de Noviembre 13:30 y 18:30hrs https://www.ticketmaster.com.mx/searc... León Poliforum León 13 de Noviembre 18:00 y 21:00 hrs.https://www.showticket.com.mx/?search... San Luis Potosí El Domo 15 de Noviembre 16:00 y 19:00 hrs. https://www.showticket.com.mx/?search... Morelia Palacio del Arte 20 de Noviembre 18:00 y 21:00 hrs.https://www.showticket.com.mx/?search... Querétaro Auditorio Josefa Ortiz de Dominguez 22 de Noviembre 16:00 y 19:00 hrs.https://www.eticket.mx/busqueda.aspx?... Puebla  Auditorio del CCU 27 de Noviembre 18:00 y 21:00 hrs.https://www.eticket.mx/busqueda.aspx?... Aguascalientes Centro de Convenciones 29 de Noviembre 17:00 y 20:00 hrs.https://www.showticket.com.mx/?search... Buenos Aires Movistar Arena 6 de Diciembre 19:00 hrs.https://e1.movistararena.com.ar/10434... Santiago Movistar Arena de Santiago de Chile 13 de Diciembre 20:00 hrs.https://www.puntoticket.com/evento/Lo... Mérida Poliforum Zamná 13 de Febrero 17:00 y 20:00 hrs.http://tusboletos.mx/evento/polinesio... Monterrey Auditorio CitiBanamex  20 de Febrero  16:00 y 20:00 hrs.https://www.ticketmaster.com.mx/searc... Guadalajara  Auditorio Telmex 28 de Febrero   16:00 y 20:00 hrs.https://www.ticketmaster.com.mx/searc... Tijuana Plaza Monumental:06 de Marzo 18:00 hrs.www.servieventos.com.mxNUESTROS CANALES:Bromas: http://www.youtube.com/platicapolinesaRetos: http://www.youtube.com/ppextrasTutoriales: http://www.youtube.com/ppmussasVideojuegos: http://www.youtube.com/ppjuxiisFacebookhttp://www.facebook.com/PlaticaPolinesiahttp://www.facebook.com/TeamRaffahttp://www.facebook.com/TeamKarenhttp://www.facebook.com/TeamLesslieTwitterhttp://twitter.com/platicapolinesihttp://twitter.com/ppteamrafahttp://twitter.com/ppteamkarenhttp://twitter.com/ppteamlessliehttp://twitter.com/ppteamariahttp://twitter.com/ppteamklerhttp://twitter.com/ppteamkocoNUESTROS INSTAGRAMS:http://www.instagram.com/PlaticaPolinesihttp://www.instagram.com/PPTeamKarenhttp://www.instagram.com/PPTeamLessliehttp://www.instagram.com/PPTeamRafahttp://www.instagram.com/PPTeamAriahttp://www.instagram.com/PPTeamKlerhttp://www.instagram.com/PPTeamKocoNUESTROS SNAPCHATS:lessliepolinesippteamrafakarenpolinesia","PT14M43S"
"_XzAUT9dOo0","ME QUITÉ TODO EL PELO - Lulu99","2020-09-19T20:03:58Z","UCCyCcRlr_NRDP-JFAhBxq1g","Lulu99","24","20.21.09","lulu|lulu99|lulu 99|99|niñas|vs|adolescente|paranormal|storytime|broma|tipos|hablando con siri|katie angel|mailu|novio|novio de lulu99|yolo aventuras|ami rodriguez|sandra cires|luisito comunica|reto paranormal|kimberly loaiza|juan de dios pantoja|los polinesios|lulu99 hackeada|lulu99 gatos|lulita|nuevos gatitos|gatos|pelo|cambio de look|extensiones|me arruinaron el cabello|ME QUITÉ TODO MI PELO|se quita el pelo|hair|lulu99 calva","2190960","174357","4895","35951","https://i.ytimg.com/vi/_XzAUT9dOo0/default.jpg","False","False","Hola Lulutubers! En el video de hoy les muestro como me quité todo mi cabello!!! (extensiones)¿tu como lo prefieres? largo o corto??....🎵 Escucha mis canciones en:❤ Spotify: http://bit.ly/SpotifyLulu99❤ iTunes y Apple Music: http://bit.ly/iTunesLulu99❤ Deezer: http://bit.ly/DeezerLulu99❤ Google Play: http://bit.ly/GooglePlayLulu99❤ Youtube: http://bit.ly/YoutubeListLulu99😋 ¡Sigueme en mis redes sociales!❤ Instagram : https://www.instagram.com/luisalulu99/❤ TikTok: @_Lulu99❤ Facebook : https://www.facebook.com/YoutubeLulu99❤ Twitter: https://twitter.com/LuisaLulu99ACERCA DE MI:Hola! yo soy Lulu99! Mi contenido es principalmente skecth y comedia con el que espero que te identifiques y te guste muchísimo. Hago videos de VS, Tipos de, Expectativa y Realidad, Adolescentes, Bromas y también Trucos Y Hacks que te pueden servir mucho! Me encanta ver videos de Musas, Los Polinesios, Katie Angel,  Los Polinesios, EnchufeTV, Ami Rodriguez, Kimberly Loaiza, Juan De Dios Pantoja, Yolo Aventuras, Luisito Comunica, también de casi todos los youtubers colombianos, youtubers mexicanos y youtubers españoles. La mayoria de sus videos me gustan mucho, más que todo sus videos de entretenimieno o videos graciosos, o en el caso de las youtubers mujeres me gustan sus videos de moda o videos para chicas.Mas arriba puede encontrar mis redes sociales para que puedas seguirme! :)","PT10M7S"
"FoTQ15pKqW4","MI MAMÁ ME DEJÓ CALVO","2020-09-19T23:00:02Z","UCqiRylQrdAIvGbyt5KPcfEg","josi","24","20.21.09","josi|mama de josi|tiktok|josii|yosi|josemaria martinez|tiktoker|josi martinez|titkoker|comedia","768876","125767","5343","23034","https://i.ytimg.com/vi/FoTQ15pKqW4/default.jpg","False","False","HOLAA chicos! gracias por ver mi video , suscribanse y denle like para mas!si llegaste aca comenta: dame el corazon que no me dio mi ex REDES SOCIALES:twitter: @jmartineze_instagram: @jmartineze_tiktok: @jmartineze_CONTACTO: contacto.jmartineze@gmail.com","PT18M25S"
"VHrMlzTcAjs","Do it! (Official Video) Dimitri vegas & Like Mike, Kim Loaiza, Azteck","2020-09-18T22:57:04Z","UCgmUtgxaeaT6CSHc70AQMEg","Kim Loaiza","10","20.21.09","MUSICA|SPACE|MUSIC|KIM|LOAIZA|POP|TRAP|REGGAETON","8582074","995951","57379","73147","https://i.ytimg.com/vi/VHrMlzTcAjs/default.jpg","False","False","Escúchala DO IT en Spotify; https://spoti.fi/33WlapZ• ITunes: https://apple.co/3iKPBpb• Deezer: https://bit.ly/3iKfBAN• Amazon: https://amzn.to/3kwAPTySIGUE A DIMITRI VEGAS Y LIKE MIKE: https://www.facebook.com/dimitrivegasandlikemikehttps://twitter.com/dimitrivegashttps://twitter.com/likemikehttps://www.instagram.com/dimitrivegasandlikemike/https://soundcloud.com/dimitrivegasandlikemikeSIGUE A AZTECK:https://www.instagram.com/WEAREAZTECK✨ SIGUEME AQUI ✨• INSTAGRAM: @Kimberly.Loaiza  http://cort.as/-I5b0• PAGINA DE FACEBOOK: Kimberly Loaiza   http://cort.as/-I5ba• TWITTER: KimberlyLoaiza_   http://cort.as/-I5bn•SUSCRÍBETE AQUÍ: http://cort.as/-I5fGVideo: @safarifilmsmxLETRAFrom the bottonTo the topGot to moveDont stopPut your ass into itYou know how to do itGot to give it all you gotBaby theres no time to talkPut your ass into itYou know how to do itDesde abajo hasta arribaA moverlo sin pararPon tu booty en estoTu sabes como hacerloDame todo lo que tienesBaby no hay tiempo de hablarPut your ass into itYou know how to do itFrom the bottonTo the topGot to moveDont stopMove moveDont stopDesde abajo hasta arribaA moverlo sin pararPon tu booty en estoTu sabes como hacerloPut your ass into itYou know how to do itYou now how to do itFrom the bottonTo the topGot to moveDont stopPut your ass into itYou know how to do itGot to give it all you gotBaby theres no time to talkPut your ass into itYou know how to do itDesde abajo hasta arribaA moverlo sin pararPon tu booty еn estoTu sabes como hacerlo","PT2M39S"
"58hoktsqk_Q","Lady Gaga - 911","2020-09-18T16:00:11Z","UC07Kxew-cMIaykMOkzqHtBQ","LadyGagaVEVO","10","20.21.09","Lady|Gaga|911|Interscope|Records|Pop","15043313","979644","38299","103907","https://i.ytimg.com/vi/58hoktsqk_Q/default.jpg","False","False","“CHROMATICA”THE SIXTH ALBUM BY LADY GAGA FEATURING 911OUT NOWhttp://smarturl.it/ChromaticaSHOP THE OFFICIAL CHROMATICA COLLECTION: http://smarturl.it/GagaStoreFOLLOW LADY GAGA:Facebook: http://gaga.lk/facebookInstagram: http://gaga.lk/InstagramSnapchat: http://gaga.lk/SnapchatTwitter: http://gaga.lk/TwitterWebsite: http://www.ladygaga.com/Official Store: http://gaga.lk/GagaStoreEmail List: http://gaga.lk/NewsMusic video by Lady Gaga performing 911. © 2020 Interscope Recordshttp://vevo.ly/FnxXjI","PT4M43S"
"j5nzbcvhpd4","¡POR FIN ESTA CON NOSOTROS! | Bienvenida a la familia❤️","2020-09-19T18:15:12Z","UCdX8LBwOGr_8dWszMN69Rdw","Leo Osuna","24","20.21.09","Leo Osuna|Allison Osuna|Alíah","1411745","118774","1927","4986","https://i.ytimg.com/vi/j5nzbcvhpd4/default.jpg","False","False","Este día fue el más importante de mi vida,conocí al amor que me regaló la vida. Mi hija familia,gracias a ti por acompañarme siempre. Pero OYE todavía no acaba todo aquí. Tendremos ahora un contenido muy diferente adaptándonos a nuestra vida de padres ahora. Esperamos estén pendientes en mi canal en el de Allison y Estrella. Que por si te quieres suscribir aquí abajo hay dos links,uno del canal de Allison y otro de Estrella. Familia gracias por todo los queremos con todo el corazón.❤️Aquí están mis otras redes por si quieres seguirme y estar más cerca de mi 🙏🏻🤍Instagram: https://www.instagram.com/leo.osunaYoutube: https://www.youtube.com/c/LeoOsunaColaboraciónes,trabajos o CONTACTO DIRECTO.Osunacollabs@gmail.com⚡️Video de Allison: https://www.youtube.com/watch?v=IECFCZzkfcA&t=167s⚡️ Video de Estrella: https://www.youtube.com/watch?v=hAZOW...","PT17M13S"
"u28u-Jo543o","Arcangel x Justin Quiles x Eladio Carrion x De La Ghetto - Tussi (Video Oficial)","2020-09-18T16:00:03Z","UCu4bj03KW4CwAsYtHSwMEsQ","Arcangel","10","20.21.09","arcangel|austin santos|Tussi|De La ghetto|Justin Quiles|AEladio Carrion","3598554","159080","2326","4871","https://i.ytimg.com/vi/u28u-Jo543o/default.jpg","False","False","Arcangel x Justin Quiles x Eladio Carrion x De La Ghetto - TussiSuscríbete: http://lati.do/YouTubeArcangelOtros Exitos de Arcangel:🐰 Original : https://youtu.be/zkfyNvdMyYI💰 Mi Primer Kilo : https://youtu.be/ssBDd-LZmQ4🚜 El Granjero: https://youtu.be/NzF_L9pQgHU🐝 Zum Zum: https://youtu.be/PLLexxa2xQU👆Po' Encima : https://youtu.be/hNE7OcIf7cA❤ Me Gusta : http://y2u.be/AiAGDHdH23ARedes Sociales:https://twitter.com/arcangelprrrahttps://www.instagram.com/arcangel/https://www.facebook.com/yosoyarca/","PT3M13S"
"E5jmkt4T9Lo","INTENTO HACER FIGURAS DE ALGODÓN DE AZÚCAR | MUY DIFÍCILES | MIS PASTELITOS","2020-09-19T18:35:00Z","UCkjjH0hsvaeRIuwGlM9oSvg","Mis Pastelitos","26","20.21.09","mis pastelitos|mispastelitos|eshpeshial|mis pastelitos recetas|recetas mis pastelitos|mis pastelitos receta|receta mis pastelitos|mis pastelitos pasteles|pasteles mis pastelitos|mis pastelitos pastel|pastel mis pastelitos|mis pastelitos distroller|distroller mis pastelitos|mis pastelitos figuras de algodon|figuras de algodon mis pastelitos|algodon mis pastelitos|mis pastelitos algodon|algodon de azucar mis pastelitos|mis pastelitos algodon de azucar|empalagoton","1158507","96742","1569","8888","https://i.ytimg.com/vi/E5jmkt4T9Lo/default.jpg","False","False","😱 ME LLEGÓ UNA SORPRESA DE DISTROLLER 😱INTENTO HACER FIGURAS DE ALGODÓN DE AZÚCAR | MUY DIFÍCILES | MIS PASTELITOSCOMPARTE EL VIDEO Y DALE ME GUSTA ♥♥♥SUSCRÍBETE: http://bit.ly/1vOBVyo♥♥♥ SÍGUEME AQUÍ ♥♥♥Facebook: http://on.fb.me/1q5ZaM0Twitter: http://bit.ly/1Bay4vWInstagram: http://bit.ly/1LfV6qdTikTok: https://bit.ly/2X59Y6ESnapchat: mispastelitosVIDEOS ANTERIORES:PASTEL FLOTADOR DE UNICORNIO EN ALBERCA COMESTIBLE: https://youtu.be/XWs_TgZrH1sGALLETA CARA VS BARAT: ttps://youtu.be/-kU_Bh9bsJAMÁNDAME TU VIDEO DICIENDO ESHPESHIAL AL CORREO:videomispastelitos@hotmail.com#MisPastelitosSi llegas a leer esto comenta aquí a bajito: Qué es el Empalagotón?","PT11M58S"
"r4LyEtIrszA","Tipos de Jugadores en Among Us","2020-09-19T15:45:10Z","UC8hiDnhwE7ieY1atgDE_yUg","GONZOK","24","20.21.09","gonzok|gonzork|comedia|chiste|vlog|videoblog|humor|chistoso|vlogger","610305","65824","1124","3298","https://i.ytimg.com/vi/r4LyEtIrszA/default.jpg","False","False","El que siempre es impostor, la que nunca es, el que siempre usa la ventilación, la que se cree detective Y MUCHOS MUCHOS MÁS (si ves esto dale like al video y comenta cuál de los jugadores eres tú)CONTACTO: Gonzok@DogmaCreators.comHoy en día ya nadie lee las descripciones de los videos, así que si tú estás leyendo esto te quiero decir que te quiero mucho ❤️ Tómale screenshot a esto y mándamela por Instagram para que te de mucho amor, comprensión y ternura.Facebook 👉 https://www.facebook.com/ElGonzokTwitter 👉 https://twitter.com/ElGonzokInstagram 👉 http://instagram.com/ElGonzokSi sigues leyendo esto de verdad eres la mejor persona del mundo, eso quiere decir que eres un/una flan de verdad!! 🍮🍮 #GonzokoFlan TE LO AGRADEZCO UN MONTÓN!! 😭😭 En este canal así nos llamamos, los flanes jejeje y somos la #Flanmilia porque somos una FAMILIA de FLANES! 🥳 Ya de paso si estás leyendo esto y no te has suscrito al canal pues no se qué estás haciendo con tu vida, suscríbete y activa la campanita plox para que formes parte de esta gran flanmilia que la está rompiendo en internet https://www.youtube.com/channel/UC8hiDnhwE7ieY1atgDE_yUgOkey ahora sí ya me voy adiosillo!","PT5M1S"
