video_id,title,publishedAt,channelId,channelTitle,categoryId,trending_date,tags,view_count,likes,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description
"47Xa_ouMTdg","#Музыкалити - Алла Пугачёва и Баста","2020-09-09T09:00:37Z","UCthfjHehYgSyhf8ONjzJMUw","ТО Gazgolder","10","20.10.09","Gazgolder|Газгольдер|Музыкалити|Пугачева|Баста|Василий Вакуленко|Новое шоу|Алла Пугачева|Максим Галкин|Галкин|Газ|Шоу|Премьера|Моя игра|Сансара|Тренды|Примадонна|Алла Борисовна","1295391","73488","3712","5822","https://i.ytimg.com/vi/47Xa_ouMTdg/default.jpg","False","False","Станьте открытыми и современными с кредитной картой спонсора выпуска – банка «Открытие». Оформите карту «120 дней» в любом удобном отделении или на сайте – https://bit.ly/3bEE8Vb#Музыкалити возвращается на экраны YouTube с новым плейлистом и гостями, которых никто не ожидал увидеть вместе! Алла Пугачева и Баста слушают ваши любимые треки и составляют новый топ чарт! Смотрим!Таймкод:00:00 Открываем новый сезон #Музыкалити02:21 Насколько хорошо знакомы гости?05:11 Баста о драках на концертах07:35 Дора, МЭЙБИ БЭЙБИ – Не исправлюсь11:41 Пугачёва и Баста о волнении на сцене13:36 Что делать, если забыл слова?16:43 Скриптонит – Москва любит...19:00 Как Баста узнал про Скриптонита23:24 Клава Кока & NILETTO – Краш24:31 Кавер от Галкина и Басты26:23 Как заставить петь то, что нужно вам?30:01 Dequine – На Западе32:57 Казахи – очень музыкальные! (с) Пугачёва33:33 Счастливое время, когда пришла популярность 37:24 MORGENSHTERN & Элджей – Cadillac40:11 Частушка года!42:17 Итоговый хит-парад 44:04 Какую бы песню взяли на необитаемый остров?VK: http://vk.com/gazInstagram: http://instagram.com/gazgolderliveСайт: http://gazgolder.comTwitter: http://twitter.com/gazgolderYouTube: http://www.youtube.com/gazgolderTelegram: https://t.me/gazliveFacebook: http://www.facebook.com/gazgolderSoundCloud: http://soundcloud.com/gazgolderOK: https://ok.ru/gazgolder"
"MaJshB4humI","Купить машину на СВАЛКЕ","2020-09-09T13:38:51Z","UCAe4XfXD-WqP5FsGSO_h-xg","Психопаты Синдиката","2","20.10.09","свалка|разборка|психопаты|синдиката|авторазбока|джанкярд|синдикат|дубровский скиндикат|жекич дубровский|Junkyard|нашли на свалке|авто|автомобиль|коплю на феррари|автохлам|тачка за копейки|Сааб|9000|Ауди|Ауди 80|Сааб 9000|жига|десятка|2110","582832","43139","1385","1497","https://i.ytimg.com/vi/MaJshB4humI/default.jpg","False","False","Качай Raid: Shadow Legends бесплатно ✅ IOS: https://clik.cc/c1Yo2 ✅ ANDROID: https://clik.cc/31eei ✅ PC: https://clik.cc/eyOqx и получи специальный стартовый пакет💥 доступный только следующие 30 дней!*бонусы доступны для новых игроковПо вопросам рекламы, сотрудничества dubrovskiysyndicate@mail.ruИнстаграм свалки: https://instagram.com/junkyard_russiaИнстаграм Вани: https://www.instagram.com/zaitcev_ivan/Инстаграм Руса: https://www.instagram.com/umyarov_ruslanИнстаграм Димы: https://www.instagram.com/dmitry_kelnВся музыка из серий у нас в группе: https://vk.com/psychopaths_syndicate Вконтакте Ваня: https://vk.com/zaitcevivanИнстаграм Синдиката: https://www.instagram.com/dubrovskiy_syndicate-----------------------------------------------Канал созданный сообществом Дубровский Синдикат и Motor Heart Studio. Здесь будет концентрация веселья и дичи, а так же генерация уникального и годного контента."
"rHbcxH3-XPg","Взятки. Дворцы. Самолёты. За что продали народ Татарстана","2020-09-09T11:48:54Z","UCsAw3WynQJMm7tMy093y37A","Алексей Навальный","29","20.10.09","Навальный|Навальный2018|Фонд борьбы с коррупцией|ФБК|минниханов|казань|татарстан|таиф|татнефть|рустем минниханов|навальный минниханов|навальный казань|навальный татарстан|минтимер шаймиев|шаймиев|навальный шаймиев|минниханов дом|минниханов коррупция","1660180","186230","3653","32092","https://i.ytimg.com/vi/rHbcxH3-XPg/default.jpg","False","False","Каждый, кто бывал в Казани, согласится: прекрасный город. Все ухожено, благоустроено, развитая инфраструктура. Красота, да и только.Но на самом деле, все это только фасад, за которым скрывается огромная зияющая дыра. Под внешним благополучием столицы лежат чудовищные людоедские порядки. Жителей Татарстана обманули и обворовали. 30 лет (то есть дольше, чем даже Путин и Лукашенко) у власти здесь находится один клан, члены которого ценой процветания собственного народа стали богатейшими людьми страны, а может, и мира. Миллиардные взятки, дворцы, поразившие даже нас, частные самолеты и образ жизни королей - вот за что президент Татарстана Рустам Минниханов продал свой народ.13 сентября в Татарстане пройдут выборы президента и в несколько городских советов. Голосуйте за кого угодно, кроме Минниханова. А если вы живете в Казани, Набережных Челнах или Нижнекамске, то регистрируйтесь в «Умном голосовании» (https://votesmart.appspot.com/), и мы пришлем вам фамилию кандидата в местную думу, у которого есть все шансы победить единоросса.Пост со всеми документами здесь: https://navalny.com/p/6427/34:55 Правильная сумма 107 371 149 ₽Блог Алексея Навального https://navalny.com/Инстаграм Алексея Навального — https://www.instagram.com/navalny/Фейсбук — https://www.facebook.com/navalny/Вконтакте — https://vk.com/navalny"
"PIwxYpx4SIA","Дина Cаева x Ивлеева//З.Б.С. ШОУ #4","2020-09-09T15:59:03Z","UCtGJ_XI0ZGwEmKZaj3VQITw","НАСТЯ ИВЛЕЕВА","22","20.10.09","agentgirl|Ивлеева|настяивлеева|Настя Ивлеева|#николай басков|#басков|#збсшоу|#звездыбабкиставки|#дина|#тикток","489282","49858","1233","1937","https://i.ytimg.com/vi/PIwxYpx4SIA/default.jpg","False","False","НАШИ ПРАВИЛА. 1. Звездный гость играет на свои деньги, Настя на свои. В этом выпуске каждый начинает игру с банком от 100 тысяч рублей и выше. От выпуска к выпуску стартовый банк может меняться.  2. Настя и гость по очереди крутят рулетку. Выпавшее на ней число определяет номер карточки с челленджем. 3. Настя и гость по очереди предлагаю ставки. Суть ставки проста - за сколько денег ты сможешь повторить челлендж.  4. Если Настя или гость не могут повторить челлендж - сумма финальной ставки отправляется автору челленджа. 5. Если Настя повторяет челлендж, звездный гость выплачивает ей ее ставку. И наоборот, если челлендж выполняет гость. 6. Когда Настя успешно выполняет челлендж - ее выигрыш отпраявляется в банк шоу. В конце сезона банк будет разыгран между лучшими челленджами.  7.  Если у одного из участников (Насти или гостя) не получается сделать челлендж, один раз за программу они могут друг другу помочь и постараться выполнить челлендж за соперника. 8. В случае успешного выполнения не своего челленджа, половина финальной ставки в любом случае отправляется автору челленджа.Если ты тоже хочешь поучаствовать в этой бодрейшей программе и выиграть реальный бабос, присылай свои челленджи на эту почту: zbschallenge@gmail.com----------------------Социальные сети по которым также можно насладиться творчеством горячей блондинки: https://www.instagram.com/_agentgirl_/https://www.instagram.com/nastyaivleeva/https://vk.com/ivleihttps://www.tiktok.com/@_agentgirl_Социальные сети ДИНЫ САЕВЫ:https://www.instagram.com/senoritasaevahttps://www.tiktok.com/@dina----------------------Production Music courtesy of Epidemic Sound#настяивлеева #збсшоу #ивлеева #звездыбабкиставки #динасаева"
"DOlTmIhEsg0","Дюна - официальный трейлер","2020-09-09T16:19:17Z","UCuNBmYELgppqc9l94wseEeA","WBRussia","1","20.10.09","Дюна|Арракис|Атрейдес|Пол Атрейдес|Герцог Лето Атрейдес|Дункан Айдахо|Фрэнк Герберт|Харконнен|Фримен|Песчаный червь|Бене Гессерит|Бегущий по лезвию 2049|Прибытие|Враг|Warner Brothers|WB|Warner Bros|Warner|Трейлер 2020|Трейлер|Официальный трейлер|кино|фильм|трейлер фильма|скоро в кино|экшен|фантастика|научная фантастика|фэнтези|экранизация|трейлеры|Тимоти Шаламе|Зендея|Оскар Айзек|Джейсон Момоа|Ребекка Фергюсон|Дени Вильнёв|Стеллан Скарсгард|Джош Бролин","279028","15042","461","1509","https://i.ytimg.com/vi/DOlTmIhEsg0/default.jpg","False","False","Номинированный на «Оскар» Дени Вильнёв («Прибытие», «Бегущий по лезвию 2049») выступает режиссером фильма студий «Уорнер Бразерс Пикчерз» и «Леджендари Пикчерз» «Дюна», экранизации одноименного бестселлера Фрэнка Герберта.«Дюна» рассказывает историю Пола Aтрейдеса и его пути, полного мистики и опасностей.  Главному герою предначертана судьба, чье величие он пока не в состоянии постичь. Умный и талантливый молодой человек должен отправиться на самую опасную планету в галактике, чтобы отстоять будущее своей семьи и своего народа. Враждебные силы обостряют конфликт в борьбе за право поставлять самый ценный ресурс во вселенной, который добывают лишь на этой планете, – вещество, способное раскрыть грандиозный потенциал человечества, но дарующее жизнь лишь тем, кто в состоянии победить свой страх.В фильме снимаются: номинированный на «Оскар» Тимоти Шаламе («Назови меня своим именем», «Маленькие женщины»), Ребекка Фергюсон («Доктор Сон», «Миссия невыполнима: Последствия»), Оскар Айзек (франшиза «Звёздные войны»), номинированный на «Оскар» Джош Бролин («Харви Милк», «Мстители: Война бесконечности»), Стеллан Скарсгард (сериал HBO «Чернобыль», «Мстители: Эра Альтрона»), Дэйв Батиста (фильмы «Стражи Галактики», «Мстители: Финал»), Стивен МакКинли Хендерсон («Ограды», «Леди Бёрд»), Зендея («Человек-паук: Возвращение домой», сериал HBO «Эйфория»), Давид Дастмалчян («Бегущий по лезвию 2049», «Темный рыцарь»), Чан Чэнь («Мистер Лонг», «Крадущийся тигр, затаившийся дракон»), Шэрон Дункан-Брюстер («Изгой-один: Звёздные войны. Истории», сериал Netflix «Половое воспитание»), а также номинированная на «Оскар» Шарлотта Рэмплинг («45 лет», «Кредо убийцы»), Джейсон Момоа («Аквамен», сериал HBO «Игра престолов») и обладатель «Оскара» Хавьер Бардем («Старикам тут не место», «007: Координаты «Скайфолл»). Вильнёв снимает «Дюну» по сценарию, который он написал совместно с Джоном Спэйтсом и Эриком Ротом по мотивам одноименного романа Фрэнка Герберта. Вильнёв также выступает продюсером картины вместе с Мэри Пэрент, Кейлом Бойтером и Джо Караччиоло-мл. Исполнительными продюсерами стали Таня Лапойнт, Джошуа Гроуд, Герберт У. Гейнс, Джон Спэйтс, Томас Талл, Брайан Герберт, Байрон Мерритт и Ким Герберт. В съемочную группу Вильнёва вошли его давние коллеги: дважды номинированные на «Оскар» художник-постановщик Патрис Верметт («Прибытие», «Убийца», «Молодая Виктория») и монтажер Джо Уокер («Бегущий по лезвию 2049», «Прибытие», «12 лет рабства»), дважды обладатель «Оскара» супервайзер визуальных эффектов Пол Ламберт («Человек на Луне», «Бегущий по лезвию 2049») и оскароносный супервайзер специальных эффектов Герд Нефзер («Бегущий по лезвию 2049»). Режиссер также сотрудничает с номинированным на «Оскар» оператором-постановщиком Грегом Фрейзером («Лев», «Цель номер один», «Изгой-один: Звёздные войны. Истории»), трижды номинированным на «Оскар» художником по костюмам Жаклин Уэст («Выживший», «Загадочная история Бенджамина Баттона», «Перо маркиза де Сада»), ее коллегой Бобом Морганом и координатором трюков Томом Стразерсом (трилогия «Темный рыцарь», «Начало»), с которыми он работает впервые. Обладатель «Оскара» и многократный номинант Ханс Циммер («Бегущий по лезвию 2049», «Начало», «Гладиатор», «Король Лев») напишет музыку. Съемки «Дюны» проходили на натурных объектах в Венгрии и Иордании. Выход фильма в мировой прокат намечен на 18 декабря 2020 года, в российский – на 17 декабря. Выпускать его будут студии «Уорнер Бразерс Пикчерз» и «Леджендари»."
"mV7rKZKdQQY","КОНТАКТЫ в телефоне Тимы Белорусских: Morgenshtern, Feduk, Face, Настя Ивлеева","2020-09-09T15:00:41Z","UC7p0GCM88wBsrlv5n5eeCHw","ШАСТУН","23","20.10.09","шастун|антон шастун|шастун контакты|контакты шастун|импровизация|шастун шоу|контакты|шоу контакты|тнт|шоу|ответы на вопросы|смешно|вопрос|ответ|смешное видео|тима белорусских|контакты тима белорусских|контакты в телефоне тима белорусских|шастун и тима белорусских|моргенштерн|morgen|алишер|федук|feduk|face|настя ивлеева|шастун и тима белорусских контакты|контакты шастун тима белорусских|тима|белорусских|вопрос ответ|мокрые кроссы|незабудка|morgenshtern","269822","18678","5812","4535","https://i.ytimg.com/vi/mV7rKZKdQQY/default.jpg","False","False","Оформи кредитную карту VISA Альфа-Банка «100 дней без %» https://alfa.link/vYOoAviasales — поиск дешёвых авиабилетов https://i.avs.io/sm3me3Всем привет! Представляем новый выпуск шоу «Контакты», в котором приглашенные участники должны ответить на вопросы с помощью своих контактов в телефоне. Сегодня у нас в гостях исполнитель всеми любимого хита Мокрые кроссы - Тима Белорусских!  Смогут ли Моргенштерн, Федук, Фэйс, Настя Ивлеева и многие другие ответить на вопросы Антона Шастуна? Это вы узнаете в нашем видео. Приятного просмотра.Тима Белорусских:Инста - https://www.instagram.com/timabelorusskih/ВКонтакте: https://vk.com/belorusskihTikTok: https://vm.tiktok.com/TQ7USK/Премьера трека «Окей»: http://muz.lc/okayTimaПремьера «В последний раз»: http://band.link/TimaPosledniiKaufman Label: https://vk.com/kaufman_labelАнтон Шастун:Инста - https://www.instagram.com/anton.shastoonИнста канала - https://www.instagram.com/shastooncha...ВК - https://vk.com/shastoonСтиль ведущего – https://www.instagram.com/konotopskaya_style_/*** По вопросам рекламы: shastoon@didenok.com ***"
"07ipxP3xNr8","ВАГНЕР ЛАВ – про РОНАЛЬДИНЬО и МБАППЕ / ПИВО на базе ЦСКА /ДЕНЬГИ в КАЙРАТЕ и ПУТИНА (❗️PRT SUBS❗️)","2020-09-09T13:15:11Z","UCoRAnB8KixJiszlSpMHa-SA","КраСава","17","20.10.09","Красава|Жека Савин|Савин|Евгений Савин|Сава Красава|футбол|блог|вагнер лав|рональдиньо|мбаппе|цска|спартак|Vagner love|VAGNER LOVE|Кайрат|Казахстан|Вагнер Лав|Сборная Бразилии|Seleção|Seleção Brasileira de Futebol|Ronaldinho|Ronaldinho Gaúcho|Kylian Mbappé|Corinthians|Flamengo|Palmeiras|Палмейрас|Фламенго|Коринтианс","342237","27774","429","2449","https://i.ytimg.com/vi/07ipxP3xNr8/default.jpg","False","False","#ВагнерЛав #Кайрат #ЦСКА #Казахстан #BrazilКупи телевизор Philips с Ambilight в Эльдорадо и получи 20% кэшбек на следующую покупку: https://bit.ly/3jEIEWE.Инновационные очистители воздуха REDMOND тут – https://vk.cc/azkW9nМагазин мерча КраСавы: https://www.krasavastore.ru Легенда московского ЦСКА, бывший нападающий сборной Бразилии, а сейчас игрок казахстанского “Кайрата” Вагнер Лав стал новым героем канала «КраСава».Как Вагнер попал в Казахстан и почему может уехать оттуда уже зимой, кто из топ-клубов интересовался им, кто был самым crazy-футболистом из звёзд, с которыми он играл, как с помощью одной бутылки пива затопить базу — и когда всё же Лав вернётся в Россию.А ещё герой выпуска будет сражаться с лучшим вратарем мира по мини-футболу, проведет призовой конкурс и забьет свои первые голы в Казахстане.1:43 – почему Вагнер готов играть в “Кайрате” даже крайним защитником2:48 – как сорвался трансфер Вагнера в ЦСКА3:49 – Гинер – папа?4:54 – мог ли Вагнер оказаться в “Спартаке”5:45 – Вагнер оценивает Савина как футболиста6:52 – сколько Вагнер потерял, разорвав контракт с “Коринтианс”7:15 – телевизор вашей мечты10:07 – каким было детство Вагнера10:40 – в чём Вагнер так же крут, как Руни и Анри11:52 – как лучший вратарь мира отказался выступать за сборную Бразилии13:37 – челлендж: Вагнер против Игиты17:35 – призовой конкурс от Вагнера и “КраСавы”18:40 – как Вагнер относится к тренеру “Кайрата”, который моложе его19:04 – рейтинг лучших тренеров, с которыми работал Вагнер20:07 – в какие клубы мог уйти из ЦСКА Вагнер и почему не ушёл22:17 – как Вагнер с похмелья отжигал на приёме у Путина24:43 – самый крупный штраф в карьере Вагнера26:37 – как сделать атмосферу в квартире лучше29:00 – самые непрофессиональные футболисты, с которыми играл Вагнер30:50 – почему сдулся Дани Карвальо31:46 – лучшие футболисты, с которыми играл Вагнер33:49 – как Вагнер и Карвальо затопили базу ЦСКА с помощью бутылки пива36:52 – что можно найти в номере Вагнера и как он живёт на базе “Кайрата”38:24 – как Дунга настраивал сборную Бразилии на финал Копа Америка с Аргентиной39:20 – тренировка “Кайрата”, Эсеола против Лава, Савин заряжает тапки Вагнеру41:27 – худший выезд Вагнера в России42:22 – самый важный трофей в карьере Вагнера: Кубок УЕФА или Копа Америка?43:29 – как Вагнер отказался от фирменных косичек44:36 – любимые блюда Вагнера46:42 – почему Дунга не взял Вагнера на чемпионат мира47:27 – причина разрыва контракта с Вагнером в Китае и впечатления от страны48:53 – “Монако”: игра с Мбаппе, победа над “ПСЖ” и уход из-за Фалькао50:17 – Вагнер в Турции – много голов в “Аланьяспоре” и проблемы в “Бешикташе”51:58 – футволей – любимый вид отдыха бразильцев в Казахстане53:26 – тренер МФК “Кайрат” Кака – о Вагнере и том, почему Бразилия такая крутая57:22 – заруба Савина против бразильцев за появление Марсело в “КраСаве”01:00:38 – дебют Вагнера за “Кайрат” в Лиге Европы01:01:51 – президент “Кайрата” – об условиях контракта Вагнера01:04:04 – как в “Кайрат” позвали людей из системы “Лейпцига”01:06:06 – кто ещё из бывших звёзд ЦСКА мог оказаться в “Кайрате”01:07:38 – Вагнер – герой матча “Кайрата” в Лиге Европы: 2+101:13:10 – впечатления Вагнера от победы и привет всем фанатам#ВагнерЛав #Кайрат #ЦСКА #Казахстан #BrazilМагазин мерча КраСавы: https://www.krasavastore.ru Инста КраСавы: https://www.instagram.com/sava9 Твиттер КраСавы: https://twitter.com/KrasavaVlog Группа КраСавы в ВК: https://vk.com/krasavavlog"
"F49dGRKi-vU","Неадекватный таксист разбивает Субу","2020-09-09T14:17:02Z","UCn1YQ4g_kKwJbt0MUVZfY7A","Жизнь Синдиката","22","20.10.09","дешевки|дешевые тачки|авто|автомобиль|Жекич Дубровский|Дубровский синдикат|Коплю на феррари|автохлам|дешевый ремонт|восстановление|битье|самый дешевый|своими руками|Вёдра|суба|субару|subaru|outback|стапель","1175609","73645","1603","1677","https://i.ytimg.com/vi/F49dGRKi-vU/default.jpg","False","False","Качай Номерограмhttps://nomerogram.ru/s/0FjПробей номер С850НМ799 и узнай машину для основного канала!Инстаграм Гриши: @gri_zavozinПо вопросам рекламы, сотрудничества DubrovskiySyndicate@mail.ru Основной канал: https://www.youtube.com/user/fullluxПсихопаты Синдиката: http://www.youtube.com/c/ПсихопатыСиндиката/Мастерская Синдиката: http://www.youtube.com/c/МастерскаяСиндиката/МУЗЫКА ИЗ ВИДОСА: https://vk.com/motorheartstudio"
"htppWGNXryE","АНГЕЛ VS ДЕМОН | СКЕТЧ","2020-09-09T09:00:14Z","UCFM6I2EqybjKQ8osIxdn9Aw","MyPack","22","20.10.09","ангел vs демон|ангел против демона|добрая девушка vs злая|ангел или демон|скетч|скетчи|юмор|каждая девушка такая|злая против доброй|злая девушка|добрая девушка|проблемы каждой девушки|вика блисс|денис флин|май пак|вика и денис|парни девушки","272953","20520","1280","665","https://i.ytimg.com/vi/htppWGNXryE/default.jpg","False","False","Предыдущее видео - https://youtu.be/_u6FFs5yykIЯ в Инстаграм - https://www.instagram.com/viktoriyabliss Я в Тик Ток - https://vm.tiktok.com/p7FDhS/Инстаграм Дениса - https://instagram.com/denisflin/ Денис в Тик Ток - https://vm.tiktok.com/p7kr5a/♡ ВКОНТАКТЕ (Вика)http://vk.com/id290647317 ♡ БОЛЬШЕ МЕНЯ НА КАНАЛЕ Viki Bliss https://goo.gl/eAIyOi ✩ ВКОНТАКТЕ (Денис)https://vk.com/id285887797 ✩ БОЛЬШЕ Дениса НА КАНАЛЕ Denis Flin https://goo.gl/BVaeST СОТРУДНИЧЕСТВО:may-pak@mail.ru♡ Канал Кошечки Баттерсhttps://goo.gl/SfjfG2 ♡ INSTAGRAM (кошечки Баттерс) https://www.instagram.com/kotbatters/#Скетч #АнгелVsДемон #ДобраяVsЗлая"
"QAEDRVZH1ag","ЧТО ЗА БОЙ? Владимир Минеев vs. Даурен Ермеков / Vladimir Mineev vs. Dauren Ermekov","2020-09-09T22:53:25Z","UCzLUGktDyr8MPCV27O1JpAw","FIGHT NIGHTS GLOBAL TV","17","20.10.09","FIGHT NIGHTS|EFN|Файт Найтс|FIGHT NIGHTS GLOBAL|ММА|MMA|смешанные единоборства|FIGHT NIGHTS TV|EFG|камил гаджиев|федор емельяненко|M-1 global|ACB|минеев|mineev|владимир минеев","99710","3824","440","1279","https://i.ytimg.com/vi/QAEDRVZH1ag/default.jpg","False","False","ЧТО ЗА БОЙ? Владимир Минеев vs. Даурен Ермеков / Vladimir Mineev vs. Dauren ErmekovОфициальный сайт - http://fightnights.ru/Группа ВКонтакте - http://vk.com/fightnightsofficialInstagram - http://instagram.com/fightnightsFacebook -  https://www.facebook.com/fightnightsglobal Twitter - https://twitter.com/FNGMMA"
